you	YO | 4lO
that	DSAT | 6rA7
was	WAS | 1lA1
for	FOR | 6lO8
what	W/HAT | 1l/3rA7
well	WEL | 1lE4
not	NOT | 7lO7
just	JUS/-T | 5rU1/-7
yes	YES | 4lE1
then	DSEN | 6rE6
had	HAD | 3rA5
get	GET | 5lE7
were	WER | 1lE8
when	W/HEN | 1l/3rE6
very	VER/-Y | 1rE8/-3
her	HER | 3rE8
more	MOR | 3lO8
has	HAS | 3rA1
want	WAN/-T | 1lA6/-7
than	DSAN | 6rA6
hundred	HUN/-D/-R/-D | 3rU6/-5/-8/-5
went	WEN/-T | 1lE6/-7
again	A/GAN | 8l/5lA6
again	A/GEN | 8l/5lE6
before	B/FOR | 3/6lO8
twenty	T/WEN/-T/-Y | 8/1lE6/-7/-3
many	MAN/-Y | 3lA6/-3
must	MUS/-T | 3lU1/-7
man	MAN | 3lA6
money	MON/-Y | 3lO6/-3
getting	GET/-NG | 5lE7/-2
god	GOD | 5lO5
morning	MOR/-N/-NG | 3lO8/-6/-2
gone	GON | 5lO6
yet	YET | 4lE7
school	S/K/HOL | 7/2/3rO4
far	FAR | 6lA8
men	MEN | 3lE6
forty	FOR/-T/-Y | 6lO8/-7/-3
world	WOR/-L/-D | 1lO8/-4/-5
against	A/GAN/-S/-T | 8l/5lA6/-1/-7
against	A/GEN/-S/-T | 8l/5lE6/-1/-7
wanted	WAN/-T/-D | 1lA6/-7/-5
hand	HAN/-D | 3rA6/-5
matter	MAT/-R | 3lA7/-8
head	HED | 3rE5
along	A/LONG | 8l/5O2
young	YONG | 4lO2
young	YUNG | 4lU2
ha	HA | 3rA
word	WOR/-D | 1lO8/-5
words	WOR/-D/-S | 1lO8/-5/-1
full	FUL | 6lU4
front	F/RON/-T | 6l/1O6/-7
aha	A/HA | 8l/3rA
wan	WAN | 1lA6
hard	HAR/-D | 3rA8/-5
national	NAT/-N/-L | 7lA7/-6/-4
gets	GET/-S | 5lE7/-1
wants	WAN/-T/-S | 1lA6/-7/-1
wants	WON/-T/-S | 1lO6/-7/-1
real	R/FAL | 1/6lA4
funny	FUN/-Y | 6lU6/-3
felt	FEL/-T | 6lE4/-7
hands	HAN/-D/-S | 3rA6/-5/-1
wonder	WON/-D/-R | 1lO6/-5/-8
friend	F/REN/-D | 6l/1E6/-5
food	FOD | 6lO5
friends	F/REN/-D/-S | 6l/1E6/-5/-1
concerned	K/W/N/SER/-N/-D | 2/1l/7l/7E8/-6/-5
